pair,session,sample_count,metric,mean,p10,p25,p50,p75,p90,low_sample
EURUSD,asia,1822,close_location_value,0.48986578009888915,0.08144370135180058,0.21959059177662027,0.49107200983765176,0.76155426356593,0.8941616047418076,False
EURUSD,asia,1822,directional_efficiency_ratio,0.1872177789045554,0.02934376147408163,0.08143575690064413,0.16311368174620522,0.27303509131950493,0.37664721485409003,False
EURUSD,asia,1822,realized_vol,0.0002854790703817413,0.0001510214101875359,0.00019087011422859533,0.0002521361802637213,0.0003376319520178151,0.0004473273427814266,False
EURUSD,asia,1822,session_abs_return,0.0011603729518234844,0.00015837091649524606,0.0004097389524849479,0.0008686469180579171,0.0015784607473454423,0.0024181263227390616,False
EURUSD,asia,1822,session_range_return,0.0024155385525114516,0.001163397925411291,0.0015089351438342686,0.0020783754156754,0.0029375273623069146,0.003888646462431333,False
EURUSD,asia,1822,session_return,-4.3758626724874895e-05,-0.0018012737574758856,-0.0008911735574675282,-1.3214349341549751e-05,0.0008219024123441822,0.001759738413509137,False
EURUSD,london,1822,close_location_value,0.47937110579895714,0.08110752954787837,0.20764166165287345,0.4778743734335853,0.7461254798949116,0.8863896264681149,False
EURUSD,london,1822,directional_efficiency_ratio,0.21677270808117324,0.03631507456577539,0.08982623377292473,0.19465727221878248,0.3136412289159074,0.43237503617237244,False
EURUSD,london,1822,realized_vol,0.0005117977460227987,0.0002904068681955556,0.0003561281413165565,0.000454464295545244,0.0006035332720231356,0.0007950604218932387,False
EURUSD,london,1822,session_abs_return,0.002090054658881744,0.0002733084898588285,0.000739452247685717,0.0016352766245416824,0.002917938750844009,0.004481353791517329,False
EURUSD,london,1822,session_range_return,0.004113339488582107,0.002020160086779034,0.0027261007443134724,0.003654231587043616,0.004962504867552522,0.006767244508229775,False
EURUSD,london,1822,session_return,-0.00010182665042581725,-0.003355632895026622,-0.0016567171431062112,-8.250846237028484e-05,0.001560731881831401,0.003125439066436103,False
EURUSD,new_york,2060,close_location_value,0.49422688724029634,0.0996710824789238,0.22224449925225973,0.4822330171358598,0.7650220015186776,0.8974528862080879,False
EURUSD,new_york,2060,directional_efficiency_ratio,0.24793339958766036,0.040901645181969114,0.10158112485296555,0.2070752600774995,0.3483928561115528,0.48658682540373815,False
EURUSD,new_york,2060,realized_vol,0.00042422539192059355,0.0002012204481865306,0.00027672363358017486,0.0003816594376762893,0.0005059448632737404,0.0006880619728890184,False
EURUSD,new_york,2060,session_abs_return,0.0029898186338517367,0.00022050031958415468,0.0007701465406351158,0.0021729905472000445,0.004330244694279395,0.006836141377376898,False
EURUSD,new_york,2060,session_range_return,0.005297320614614253,0.0010497058245014022,0.0030102051665653593,0.004842917706269078,0.00688181894540275,0.009441937459876353,False
EURUSD,new_york,2060,session_return,-5.834186448611495e-05,-0.005266397959349212,-0.002249851744765542,0.0,0.002120806548792351,0.004885976520434675,False
GBPUSD,asia,1822,close_location_value,0.4971435879047247,0.08408870642081362,0.2262519324205398,0.5071232058090724,0.7569147379990455,0.9006547808813128,False
GBPUSD,asia,1822,directional_efficiency_ratio,0.1897585278134925,0.026963667820079543,0.07621889703265186,0.16444320516343486,0.2790206687915753,0.39005046885672856,False
GBPUSD,asia,1822,realized_vol,0.0003412544987734954,0.00019165403097198174,0.00023509745533199306,0.000296208950437072,0.0003879277232122369,0.000524608016406858,False
GBPUSD,asia,1822,session_abs_return,0.0013825065416822556,0.0001568444569499673,0.00046817854892332046,0.0010563370300917846,0.001890968282045382,0.0029494291596281518,False
GBPUSD,asia,1822,session_range_return,0.002873743719770866,0.0013915356117421272,0.001825735698627238,0.002462567860734736,0.003374504162711381,0.00458516320858813,False
GBPUSD,asia,1822,session_return,-5.5409098064014114e-05,-0.0022046105822859084,-0.0010986038334851633,-4.1004455692540135e-06,0.0010238110067406058,0.0020953641685261567,False
GBPUSD,london,1821,close_location_value,0.4980464023163711,0.0976896488994015,0.2262051915945567,0.4999999999999736,0.7672605790646282,0.9013333333333362,False
GBPUSD,london,1821,directional_efficiency_ratio,0.2137988872906963,0.03426222019186979,0.08640616400659214,0.19070105339628568,0.3074380165289202,0.43603443158203353,False
GBPUSD,london,1821,realized_vol,0.0006476343011466314,0.00036935543003516994,0.0004681257423648103,0.0005837704085292057,0.0007463997598198095,0.0009502293867233687,False
GBPUSD,london,1821,session_abs_return,0.002598908734874504,0.0003446493193175386,0.0008871848083102094,0.0020256314148317583,0.003530410689547443,0.005525878798791717,False
GBPUSD,london,1821,session_range_return,0.005216486710114603,0.0026657252002269274,0.0034432780006567795,0.004577869159763709,0.0061907415467091,0.008310856920027265,False
GBPUSD,london,1821,session_return,-0.00010336116610899955,-0.004139369511208225,-0.0020416166835840743,-8.018515481189836e-05,0.0019711334832045306,0.0038843940670763946,False
GBPUSD,new_york,1956,close_location_value,0.5051930886687269,0.11308350560057105,0.23999999999993915,0.49914587475943484,0.7763808021874836,0.8974306651430178,False
GBPUSD,new_york,1956,directional_efficiency_ratio,0.23615814890543405,0.03849977421813146,0.10051747237483345,0.20322169678908852,0.3284401729734449,0.45961618740660426,False
GBPUSD,new_york,1956,realized_vol,0.0005204536612400291,0.0002807822073729524,0.0003543002086908263,0.00045496441530781074,0.000599950778142929,0.0008341766503106264,False
GBPUSD,new_york,1956,session_abs_return,0.0038107587945412163,0.00036281385427366653,0.0011377599930657797,0.002909302497828321,0.005218880442438727,0.008311647466472201,False
GBPUSD,new_york,1956,session_range_return,0.0066917218955709285,0.0026275666858922198,0.004111906345415087,0.005717723569430066,0.008247507048968915,0.011507003937542675,False
GBPUSD,new_york,1956,session_return,-1.016867330015945e-05,-0.0059770612665741695,-0.002938169618721981,-3.831880272938559e-06,0.0028672530208649315,0.0057998443177053206,False
USDJPY,asia,1822,close_location_value,0.5398146726869573,0.1350598918766259,0.2860776923272261,0.5580160163985933,0.7938741275667156,0.9132396746503847,False
USDJPY,asia,1822,directional_efficiency_ratio,0.19655823885442839,0.031679024257271544,0.07726090841749547,0.17166240564890287,0.2893506586483223,0.4109598531390774,False
USDJPY,asia,1822,realized_vol,0.0004198387803598293,0.00019514061929711278,0.000247057741202991,0.0003423954766067391,0.0005043772829649946,0.0006997731595143644,False
USDJPY,asia,1822,session_abs_return,0.0018176944143666121,0.00021825240820073458,0.0005350987693891505,0.0012224311276480128,0.002416334535954543,0.004054978569199108,False
USDJPY,asia,1822,session_range_return,0.003750921223773317,0.0015599637467215409,0.0020468515152309032,0.0029952342361136705,0.004534540888632286,0.006615134627964786,False
USDJPY,asia,1822,session_return,5.7640554915939924e-05,-0.0027986295851118235,-0.0011545851378783692,0.00010088360350674808,0.0012612317120403763,0.0028291035729585898,False
USDJPY,london,1822,close_location_value,0.5412578171484357,0.13217269414072083,0.28170507769367154,0.5546870863741789,0.8119815852224991,0.9281759183977196,False
USDJPY,london,1822,directional_efficiency_ratio,0.22024827149063764,0.042791718639171916,0.09469097443175975,0.18602747689860427,0.3198810901630266,0.4485259357174548,False
USDJPY,london,1822,realized_vol,0.0004693048063588687,0.00021701357760111565,0.00028512215919134203,0.0003906881000272868,0.0005595202377686027,0.0007928726346320155,False
USDJPY,london,1822,session_abs_return,0.001977163446380465,0.00026252974493334955,0.0005975061753873224,0.0013456607302632872,0.002617289622464383,0.004416321934128926,False
USDJPY,london,1822,session_range_return,0.0038834429678011708,0.0015707729524353914,0.0021735631798059977,0.003173073556344925,0.004767924977445766,0.006851637528300165,False
USDJPY,london,1822,session_return,7.884459306439712e-05,-0.00304647173392382,-0.001164912689284093,0.0001430969065029781,0.001507288577568133,0.003114180205112792,False
USDJPY,new_york,1822,close_location_value,0.5505595566203431,0.1489721508385634,0.29801674676601,0.5753712303158169,0.8104921898025268,0.9054839682184573,False
USDJPY,new_york,1822,directional_efficiency_ratio,0.2189980344925368,0.0367000554529835,0.0952561970207621,0.19711076671548786,0.3217473201131343,0.4286791171054311,False
USDJPY,new_york,1822,realized_vol,0.000461118236412717,0.00022389230030240583,0.0002855191041055727,0.00038470722358210886,0.0005525314249634996,0.0007541216166002532,False
USDJPY,new_york,1822,session_abs_return,0.003763060604378768,0.00043073615425092836,0.0011784459949742301,0.0027223086703003435,0.0049124071909795895,0.00823970442909767,False
USDJPY,new_york,1822,session_range_return,0.006541451470646133,0.002546969953096904,0.003584940112252415,0.005324342978562926,0.007926536053028767,0.011709250831431234,False
USDJPY,new_york,1822,session_return,0.0002357895953032533,-0.0055155900055019625,-0.002399977215748093,0.00027335832116772124,0.0029662091306484105,0.006008999237751262,False
