pair,volatility_regime,run_count,avg_duration_sessions,median_duration_sessions,p90_duration_sessions,max_duration_sessions,persistence_probability,transition_sample_count,sample_count,low_sample
ALL,high_vol,3389,1.64886397167306,1.0,2.0,72,0.3936627282491944,5586,5586,False
ALL,low_vol,3730,1.5587131367292226,1.0,2.0,26,0.3584451324389405,5814,5814,False
ALL,medium_vol,3616,1.4593473451327434,1.0,2.0,13,0.3148218347232752,5276,5276,False
EURUSD,high_vol,1250,1.4984,1.0,2.0,36,0.33262146289375333,1873,1873,False
EURUSD,low_vol,1443,1.3568953568953568,1.0,2.0,9,0.263023493360572,1958,1958,False
EURUSD,medium_vol,1300,1.4176923076923076,1.0,2.0,13,0.2947882736156352,1842,1842,False
GBPUSD,high_vol,1247,1.5100240577385726,1.0,2.0,28,0.3379383634431456,1882,1882,False
GBPUSD,low_vol,1396,1.3624641833810889,1.0,2.0,9,0.26603575184016826,1902,1902,False
GBPUSD,medium_vol,1253,1.423782920989625,1.0,2.0,8,0.2976457399103139,1784,1784,False
USDJPY,high_vol,892,2.0538116591928253,1.0,4.0,72,0.513380666302567,1831,1831,False
USDJPY,low_vol,891,2.1930415263748597,1.0,4.0,26,0.5440122824974412,1954,1954,False
USDJPY,medium_vol,1063,1.5522107243650047,1.0,3.0,10,0.3557575757575758,1650,1650,False
