pair,from_regime,to_regime,transition_count,sample_count,transition_probability,low_sample
ALL,low_vol,low_vol,2084,5814,0.3584451324389405,False
ALL,low_vol,medium_vol,1857,5814,0.3194014447884417,False
ALL,low_vol,high_vol,1873,5814,0.3221534227726178,False
ALL,medium_vol,low_vol,2101,5276,0.39821834723275207,False
ALL,medium_vol,medium_vol,1661,5276,0.3148218347232752,False
ALL,medium_vol,high_vol,1514,5276,0.2869598180439727,False
ALL,high_vol,low_vol,1628,5586,0.2914428929466523,False
ALL,high_vol,medium_vol,1759,5586,0.3148943788041532,False
ALL,high_vol,high_vol,2199,5586,0.3936627282491944,False
EURUSD,low_vol,low_vol,515,1958,0.263023493360572,False
EURUSD,low_vol,medium_vol,720,1958,0.36772216547497444,False
EURUSD,low_vol,high_vol,723,1958,0.36925434116445355,False
EURUSD,medium_vol,low_vol,773,1842,0.4196525515743757,False
EURUSD,medium_vol,medium_vol,543,1842,0.2947882736156352,False
EURUSD,medium_vol,high_vol,526,1842,0.28555917480998916,False
EURUSD,high_vol,low_vol,670,1873,0.3577148958889482,False
EURUSD,high_vol,medium_vol,580,1873,0.30966364121729845,False
EURUSD,high_vol,high_vol,623,1873,0.33262146289375333,False
GBPUSD,low_vol,low_vol,506,1902,0.26603575184016826,False
GBPUSD,low_vol,medium_vol,610,1902,0.3207150368033649,False
GBPUSD,low_vol,high_vol,786,1902,0.41324921135646686,False
GBPUSD,medium_vol,low_vol,792,1784,0.4439461883408072,False
GBPUSD,medium_vol,medium_vol,531,1784,0.2976457399103139,False
GBPUSD,medium_vol,high_vol,461,1784,0.2584080717488789,False
GBPUSD,high_vol,low_vol,603,1882,0.320403825717322,False
GBPUSD,high_vol,medium_vol,643,1882,0.3416578108395324,False
GBPUSD,high_vol,high_vol,636,1882,0.3379383634431456,False
USDJPY,low_vol,low_vol,1063,1954,0.5440122824974412,False
USDJPY,low_vol,medium_vol,527,1954,0.26970317297850566,False
USDJPY,low_vol,high_vol,364,1954,0.1862845445240532,False
USDJPY,medium_vol,low_vol,536,1650,0.32484848484848483,False
USDJPY,medium_vol,medium_vol,587,1650,0.3557575757575758,False
USDJPY,medium_vol,high_vol,527,1650,0.3193939393939394,False
USDJPY,high_vol,low_vol,355,1831,0.1938831239759694,False
USDJPY,high_vol,medium_vol,536,1831,0.2927362097214637,False
USDJPY,high_vol,high_vol,940,1831,0.513380666302567,False
