pair,session,volatility_regime,avg_session_return,avg_session_abs_return,continuation_probability,reversal_probability,avg_directional_efficiency_ratio,avg_close_location_value,sample_count,low_sample
ALL,asia,low_vol,4.2790184752897614e-05,0.001058436486541517,0.577337605592776,0.41683658607631807,0.18404788684847276,0.509151296553981,3433,False
ALL,asia,medium_vol,-1.3245447769085232e-05,0.0016408807553294597,0.6024279210925645,0.3952959028831563,0.19601147729130572,0.5091486542092367,1318,False
ALL,asia,high_vol,-0.0002839892733605881,0.0030784760624873236,0.564963503649635,0.4291970802919708,0.21785412949823862,0.5136862478613197,685,False
ALL,london,low_vol,0.0002566371122754717,0.0011985693593271134,0.5635220125786163,0.43018867924528303,0.20663959903142967,0.5472001242124537,795,False
ALL,london,medium_vol,-3.3810023573366307e-06,0.001792079705912839,0.5590277777777778,0.4357638888888889,0.21274125170946992,0.5045275323943005,1728,False
ALL,london,high_vol,-0.000152203584760549,0.002751984097169024,0.5683379120879121,0.42857142857142855,0.2214761238527464,0.49599246975155736,2912,False
ALL,new_york,low_vol,0.0005291834006835573,0.0022814781469066934,0.562421185372005,0.4274905422446406,0.26819401002410365,0.5448751457742459,1586,False
ALL,new_york,medium_vol,0.00013098495872453819,0.0032595370841904895,0.48767368892873153,0.5064993276557598,0.21860718776048144,0.5129068602280875,2231,False
ALL,new_york,high_vol,-0.0004347779807989325,0.004748043788013095,0.5223505775991963,0.47011551983927674,0.22678042932728698,0.4948425409702925,1991,False
EURUSD,asia,low_vol,-2.7587942027750977e-05,0.0009468229958884243,0.5683728036669213,0.4247517188693659,0.18407834244171994,0.4902881118417253,1309,False
EURUSD,asia,medium_vol,-2.463161207966457e-05,0.0014302626685545865,0.5858585858585859,0.41414141414141414,0.18841665562811885,0.4914125879151792,396,False
EURUSD,asia,high_vol,-0.0003018703222632318,0.002778015807782778,0.5233644859813084,0.4766355140186916,0.22278483673136446,0.4956639266644793,107,False
EURUSD,london,low_vol,1.0645343705992241e-05,0.0012213067672235435,0.543859649122807,0.45614035087719296,0.20682800415125066,0.48277906275136456,114,False
EURUSD,london,medium_vol,-9.449959334581304e-05,0.0016240991306105932,0.5587301587301587,0.4380952380952381,0.20970389865552816,0.4773142256641526,630,False
EURUSD,london,high_vol,-0.00013912831603104056,0.0024421832057245027,0.5664794007490637,0.42790262172284643,0.2205530563624045,0.4793171229876629,1068,False
EURUSD,new_york,low_vol,0.00011967771619464078,0.0017092193211094284,0.6261682242990654,0.35887850467289717,0.31959518725521563,0.5119430114616368,535,False
EURUSD,new_york,medium_vol,-0.00014683761110584781,0.0029205345285419153,0.48592411260709917,0.5030599755201959,0.21911919363009916,0.48479764412910803,817,False
EURUSD,new_york,high_vol,-0.00012319650796115323,0.004022985590127264,0.5243553008595988,0.4670487106017192,0.22647332628795755,0.49141750770052417,698,False
GBPUSD,asia,low_vol,3.0697107082535995e-05,0.001136538275312957,0.5666167664670658,0.4273952095808383,0.18381333787962817,0.5032772233723959,1336,False
GBPUSD,asia,medium_vol,-0.00014581094559173457,0.0017153165895315164,0.5951742627345844,0.39946380697050937,0.20052618972697311,0.48840806494768607,373,False
GBPUSD,asia,high_vol,-0.0008261469654120455,0.0034197090312036446,0.5825242718446602,0.4077669902912621,0.23167193453980606,0.4700035851303466,103,False
GBPUSD,london,low_vol,0.0002783318058185959,0.0016197754789711897,0.5353535353535354,0.45454545454545453,0.2253341098369191,0.5456469703345318,99,False
GBPUSD,london,medium_vol,-2.315204987069907e-05,0.0020232056643074863,0.5706806282722513,0.4258289703315881,0.21385166345215986,0.5042067921877713,573,False
GBPUSD,london,high_vol,-0.00018661958302999127,0.0029774841341529443,0.5654082528533801,0.43283582089552236,0.21262589394039236,0.48966686287026284,1139,False
GBPUSD,new_york,low_vol,0.00013447570893673335,0.00244118142071695,0.5610278372591007,0.43254817987152033,0.2680540256063685,0.5114437734024594,467,False
GBPUSD,new_york,medium_vol,5.266594211776289e-05,0.0035977353933930546,0.4988066825775656,0.4964200477326969,0.2233900081211715,0.5053234875657936,838,False
GBPUSD,new_york,high_vol,-0.0002318194947118328,0.005081816188526448,0.4960998439937597,0.4960998439937597,0.22934016893848286,0.49848424669832203,641,False
USDJPY,asia,low_vol,0.00018020302704156783,0.0011114289604834645,0.6104060913705583,0.38578680203045684,0.1843949567099141,0.5504452947252251,788,False
USDJPY,asia,medium_vol,8.503479222151152e-05,0.001742229017998827,0.6193078324225865,0.3788706739526412,0.1984223363807739,0.5360333938212679,549,False
USDJPY,asia,high_vol,-0.0001623987164892555,0.0030721650129622827,0.5705263157894737,0.4231578947368421,0.21374714088092092,0.5272182533967977,475,False
USDJPY,london,low_vol,0.00030113073247504447,0.0011224671766038201,0.5721649484536082,0.4209621993127148,0.20342270082970623,0.5600828789211796,582,False
USDJPY,london,medium_vol,0.00012753999297199066,0.0017413989216848052,0.5466666666666666,0.4438095238095238,0.21517414027217846,0.5375335654958896,525,False
USDJPY,london,high_vol,-0.00011640864146157064,0.002856980990698193,0.5758865248226951,0.4226950354609929,0.23717292945537963,0.531473514548201,705,False
USDJPY,new_york,low_vol,0.001219960854874203,0.0026780141793247537,0.5051369863013698,0.4863013698630137,0.22121754239471564,0.6017777874777906,584,False
USDJPY,new_york,medium_vol,0.000638992555022981,0.0032483476828938495,0.4739583333333333,0.5260416666666666,0.2109226178685788,0.5638098044014703,576,False
USDJPY,new_york,high_vol,-0.0009678765354348233,0.005196115127576364,0.5460122699386503,0.44785276073619634,0.2245926453252553,0.4949289517841443,652,False
